NO_PRESTADOR;FANTASIA;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;TELEFONE1;TELEFONE2
ASSOCIACAO HOSPITALAR VILA NOVA;ASSOCIACAO HOSPITALAR VILA NOVA;676;COSMO FAVRETTO;CENTRO;SARANDI;RS;CRS 15 Palmeira das Missões;GINECOLOGIA E OBSTETRICIA  / NEFROLOGIA  / MASTOLOGIA  / PSICOLOGIA  / UROLOGIA  / RADIOTERAPIA  / CIRURGIA VASCULAR / HEMATOLOGIA E HEMOTERAPIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / ACUPUNTURA  / PATOLOGIA / FISIOTERAPIA / CIRURGIA ONCOLÓGICA / NEUROLOGIA  / INFECTOLOGIA  / ENFERMAGEM  / REUMATOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / CIRURGIA GERAL  / ONCOLOGIA CLÍNICA / TERAPIA OCUPACIONAL / NEUROCIRURGIA  / CIRURGIA DO APARELHO DIGESTIVO / GENETICA MÉDICA / GASTROENTEROLOGIA  / CIRURGIA TORACICA  / ALERGIA E IMUNOLOGIA  / FONOAUDIOLOGIA  / HOMEOPATIA  / REMOCOES  / ORTOPEDIA E TRAUMATOLOGIA  / MEDICINA DO TRABALHO / OFTALMOLOGIA  / MEDICINA NUCLEAR  / ANGIOLOGIA / CIRURGIA DA MÃO / CLÍNICA MÉDICA / CARDIOLOGIA  / CIRURGIA CARDIOVASCULAR  / CIRURGIA PEDIATRICA  / GERIATRIA   / PNEUMOLOGIA  / MEDICINA FISICA E REABILITACAO  / MEDICINA DA FAMÍLIA E COMUNIDADE / ANESTESIOLOGIA  / PEDIATRIA  / OTORRINOLARINGOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / NUTROLOGIA / COLOPROCTOLOGIA / PSIQUIATRIA;36115750;
ATMA COMUNICACAO PESSOAL LTDA;ATMA VOZ E COMUNICACAO;472;RUA NUNES MACHADO;REBOUÇAS;CURITIBA;PR;Metropolitana;FONOAUDIOLOGIA;;
ATTIVA PRESTACOES DE SERVICOS LTDA;ENDHOS MEDICINA INTEGRADA;877;RUA BARÃO DO RIO BRANCO;CENTRO;BOA VISTA;RR;Secretaria Estadual de Saúde;GASTROENTEROLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / CIRURGIA ONCOLÓGICA / CIRURGIA GERAL  / CIRURGIA PEDIATRICA;32244453;
ATUAL SERVICOS MEDICOS LTDA EPP;ATUAL SERVICOS MEDICOS;1684;RUA FRANCISCO BARBOSA;CIDADE NOVA;FRANCA;SP;Franca;OFTALMOLOGIA;37233734;
AUDIOFONO LTDA;AUDIOFONO;75;RUA PEREGRINO FERRARI JÚNIOR;CENTRO;CASTRO;PR;Ponta Grossa;FONOAUDIOLOGIA;;
AUDIOPULSE LTDA;AUDIOPULSE;243;SANTA TEREZINHA;CENTRO;JOACABA;SC;Joaçaba;FONOAUDIOLOGIA;39522900;
AWMS SERVICOS MEDICOS LTDA;WMS SAUDE;1883;TEREZINHA LEITE;PENEDO;CAICO;RN;IV ETAM;DERMATOLOGIA;;
AYSU ATIVIDADES DE PSICOLOGIA E PSICANALISE;AYSU CLINICA PSICOLOGICA;1674;AVENIDA EPHIGÊNIO SALLES;ALEIXO;MANAUS;AM;Entorno de Manaus;PSICOLOGIA;;
AZZOUZ DERMATOLOGIA LTDA;AZZOUZ DERMATOLOGIA;2930;PRESIDENTE EPITÁCIO PESSOA;TAMBAUZINHO;JOAO PESSOA;PB;I Núcleo Regional de Saúde;DERMATOLOGIA;30218303;
B C CLINICA MULTIDISCIPLINAR LTDA;CLINICA MENTALIZE CUIDADOS EM SAUDE MENTAL;597;AVENIDA SENADOR FURTADO;NOVA PARNAÍBA;PARNAIBA;PI;TD Planície Litorânea;PSICOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / MÉDICO GENERALISTA / PSIQUIATRIA  / ENDOCRINOLOGIA E METABOLOGIA;;
B CONDOLO TREINAMENTOS LTDA;PSICOLOGIA ABA EM ACAO;1111;AVENIDA BONIFÁCIO VILELA;CENTRO;PONTA GROSSA;PR;Ponta Grossa;NUTRICAO / FISIOTERAPIA / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;;
B M MACEDO LTDA;APREENDER PSICOLOGIA;1160;AV CASTELO BRANCO;OESTE;PARAISO DO TOCANTINS;TO;Região de Saúde do Cantão;PSICOLOGIA;;
BANDEIRA CONSULTORIA EM MEDICINA LTDA;BANDEIRA CONSULTORIA;1883;AVENIDA SANTOS DUMONT;CENTRO;LAURO DE FREITAS;BA;Salvador;ACUPUNTURA  / INFECTOLOGIA;33797956;
BAOBA - NUCLEO DE DESENVOLVIMENTO INFANTIL LTDA;BAOBA - NUCLEO DE DESENVOLVIMENTO INFANTIL;;;;;;;PSICOLOGIA;;
BBJ SERVICOS MEDICOS LTDA;CLINICA PHD;240;AVENIDA GENTIL MESSIAS - KITATE;VILA CRUZ;POCOS DE CALDAS;MG;Pouso Alegre;REUMATOLOGIA  / DERMATOLOGIA   / HEMATOLOGIA E HEMOTERAPIA / PEDIATRIA;31141459;
BE ABA INTERVENCAO COMPORTAMENTAL LTDA;BE ABA INTERVENCAO COMPORTAMENTAL;901;TRAVESSA WE 72;CIDADE NOVA;ANANINDEUA;PA;Metropolitana;FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / NUTRICAO;;
BE.ABA: INTERVENCAO COMPORTAMENTAL LTDA;BE.ABA: INTERVENCAO COMPORTAMENTAL;2298;AVENIDA BORGES LEAL;APARECIDA;SANTAREM;PA;Baixo Amazonas;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / NUTRICAO / PSICOLOGIA  / FISIOTERAPIA;;
BEABA DESENVOLVIMENTO E APRENDIZAGEM LTDA;BEABA -  DESENVOLVIMENTO E APRENDIZAGEM LTDA;536;AV PRESTATO FERREIRA MACHADO;JATIUCA;MACEIO;AL;Região 01;FISIOTERAPIA / PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;;
BECKER LISENKO LTDA;BECKER LISENKO LTDA ME;2326;RUA QUINTINO BOCAIÚVA;CENTRO;GUARAPUAVA;PR;Guarapuava;PSICOLOGIA;36238330;
BELIEVE PSICOLOGIA E SAUDE LTDA;BELIEVE PSICOLOGIA E SAUDE LTDA;3502;AVENIDA CAMPOS SALES;OLARIA;PORTO VELHO;RO;Departamento de Epidemiologia;PSIQUIATRIA  / NUTRICAO / PSICOLOGIA  / FONOAUDIOLOGIA;;
BENILDE MARIA MIRANDA DA SILVA LTDA;INSTITUTO BALSENSE DE DESENVOLVIMENTO INFANTIL;83;RUA DA MANGUEIRA;CAJUEIRO;BALSAS;MA;Gerais de Balsas;TERAPIA OCUPACIONAL / NUTRICAO / PSICOLOGIA  / FONOAUDIOLOGIA;;
BERTO SERVICOS DE PSICOLOGIA LTDA;BERTO SERVICOS DE PSICOLOGIA;3958;RUA ARICANDUVA;ZONA II;UMUARAMA;PR;Umuarama;TERAPIA OCUPACIONAL / PSICOLOGIA;;
BERZIN PSIQUIATRIA LTDA;BERZIN PSIQUIATRIA;360;AVENIDA OROSIMBO MAIA;CENTRO;CAMPINAS;SP;Campinas;PSIQUIATRIA;;
BIANCA LEFOSSE LTDA;CLINICA LEFOSSE;292;AV DOM PEDRO II;CENTRO;SAO LOURENCO;MG;Varginha;FISIOTERAPIA;;
BIANCO SILVA CIA LTDA;BIANCO & SILVA;2498;ALAMEDA POLIVALENTE;JARDIM UIRAPURU;ALTAMIRA;PA;Rodovia Transamazônica;CIRURGIA DO APARELHO DIGESTIVO;;
BIO MEDICAL PREVENT LTDA;BIO MEDICAL PREVENT;790;RUA MARANHÃO;CENTRO;CASCAVEL;PR;Cascavel;RADIOTERAPIA;;
BIO RIM;BIO RIM;1578;RUA VINTE E SEIS;CENTRO;ITUIUTABA;MG;Ituiutaba;NEFROLOGIA;32682065;
BJ CONSULTORIO ODONTOLOGICO LTDA;SMART SMILE;166;R CRISPIM DE AMORIM COELHO;CENTRO;PETROLINA;PE;Petrolina;CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;;
BLBT OFTALMOLOGIA AVANCADA LTDA;CLINICA DE OFTALMO E DERMATO INTEGRADA C O D I;78;AVENIDA QUINZE DE NOVEMBRO;CENTRO;ERECHIM;RS;CRS 11 Erechim;DERMATOLOGIA   / OFTALMOLOGIA;37126064;
BRANDAO BRITO SERVICOS MEDICOS ESPECIALIZADOS LTDA;ANGIOCLIN;1117;AVENIDA AZIZ MARON;JARDIM VITÓRIA;ITABUNA;BA;Itabuna;CIRURGIA VASCULAR / ANGIOLOGIA;32126523;
BRUNA APARECIDA RIBEIRO REL;BRUNA APARECIDA RIBEIRO REL;2047;RUA MINAS GERAIS;CENTRO;MEDIANEIRA;PR;Foz do Iguaçu;NUTRICAO;30000000;
BRUNA FRANCIELE DA SILVA CRUZ;BRUNA FRANCIELEDA SILVA CRUZ;434;RUA ECTORE ALBERTO BELTRAME;CENTRO;SANTA ROSA;RS;CRS 14 Santa Rosa;PSICOLOGIA;;
BRUNA RABELLO DE MORAES;Bruna Rabello de Moraes;524;RUA GENERAL JOÃO TELLES;BOM FIM;PORTO ALEGRE;RS;CRS 01 Porto Alegre;PSICOLOGIA;;
BRUNA SILVA CORDEIRO;BRUNA SILVA CORDEIRO;;;;;;;FISIOTERAPIA;;
BRUNO LODI SERVICOS MEDICOS LTDA;LODI PSIQUIATRIA;646;RUA EUDORO BERLINK;AUXILIADORA;PORTO ALEGRE;RS;CRS 01 Porto Alegre;PSIQUIATRIA;;
BS PSICOLOGIA LTDA;NEUROCENTER PSICOLOGIA AVANÇADA;25;QUADRA ACSE 1 RUA SE 1;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;NUTRICAO / PSICOLOGIA;;
BSB OTORRINO SERVICO DE SAUDE LTDA;BSB OTORRINOLARINGOLOGIA E ONCOLOGIA;0;SGAS 613;ASA SUL;BRASILIA;DF;Distrito Federal;OTORRINOLARINGOLOGIA  / FONOAUDIOLOGIA;30327599;
BURIOLA E BONFIM SERVICOS OCUPACIONAIS LTDA;BURIOLA E BONFIM SERVICOS OCUPACIONAIS;2313;LORIANO PEIXOTO;NOSSA SENHORA APARECIDA - VILA;SAO JOSE DO RIO PRETO;SP;São José do Rio Preto;PSICOLOGIA;32343339;
BV COMERCIO DE APARELHOS AUDITIVOS E HOSPITALAR LT;;766;RUA PADRE CÍCERO;CENTRO;JUAZEIRO DO NORTE;CE;Juazeiro do Norte;FONOAUDIOLOGIA;35111868;
C P SAUDE SERVICOS LTDA;D SAUDE CENTRO MEDIC;62;RUA AGOSTINHO BEZERRA;CAJÁ;CARPINA;PE;Limoeiro;DERMATOLOGIA   / CLÍNICA MÉDICA / GINECOLOGIA E OBSTETRICIA  / CARDIOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / OFTALMOLOGIA  / UROLOGIA;31962516;
C S MELO LTDA;ESPACO TERAPEUTICO CATIVAR;1156;RUA TREZE DE MAIO;CENTRO;IMPERATRIZ;MA;Tocantins;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;;
C S SAUDE LTDA;C S SAUDE;428;RUA QUINZE DE NOVEMBRO;MIGUEL DE CASTRO MOREIRA;RIO GRANDE;RS;CRS 03 Pelotas;NUTRICAO;;
CAASA ESPACO DE NEURODESENVOLVIMENTO E DE COMUNICACAO LTDA;CAASA ESPACO DE NEURODESENVOLVIMENTO E DE COMUNICA;138;RUA HEITOR DE ANDRADE;JARDIM DAS AMÉRICAS;CURITIBA;PR;Metropolitana;PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;;
CAD CENTRO DE ANESTESIOLOGIA E DOR SS LTDA;CAD CENTRO DE ANESTESIOLOGIA E DOR;148;RUA PASTOR SANDRESCKY;CENTRO I;BRUSQUE;SC;Brusque;ANESTESIOLOGIA;33553751;
CAIRES SAMPAIO MEDICINA ESPECIALIZADA LTDA;CAIRES SAMPAIO MEDICINA ESPECIALIZADA;103;CASTRO ALVES;CENTRO;SANTO ESTEVAO;BA;Feira de Santana;UROLOGIA  / GINECOLOGIA E OBSTETRICIA  / CLÍNICA MÉDICA / CIRURGIA VASCULAR / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / NEUROLOGIA;;
CALHEIROS & SILVA FISIOTERAPIA LTDA;CLINICA MAIS SAUDE;444;DOUTOR JOSE RUFINO BEZERRA - DE 382/383 AO FIM;CAJA;VITORIA DE SANTO ANTAO;PE;Recife;TERAPIA OCUPACIONAL / GINECOLOGIA E OBSTETRICIA  / PSIQUIATRIA  / FISIOTERAPIA / DERMATOLOGIA   / ORTOPEDIA E TRAUMATOLOGIA  / UROLOGIA  / NUTRICAO / PSICOLOGIA;41370141;
CALMARE ACOLHIMENTO MULTIDISCIPLINAR LTDA;CLINICA CALMARE;441;RUA HUMBERTO CARLOS TEIXEIRA;LOTEAMENTO MARTINS JORGE;ARAGUAINA;TO;Região de Saúde Médio Norte;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / PEDIATRIA;;
CAMBRAIA CIA LTDA;ORTOTRAUMA;499;AV JUCA PINHE;SANTA MONICA;PARANAIBA;MS;NCT de Paranaíba;ORTOPEDIA E TRAUMATOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;36683979;
CAMILA RODRIGUES DE OLIVEIRA LABORATORIO CLINICO;VIZE LABORATORIO DE ANALISES CLINICAS;1188;JOSINO ALVES DA ROCHA LOURES;CENTRO;PALMAS;PR;Pato Branco;PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
CAMILA TOKARSKI;FISIOLIFE ITAPEMA;246;RUA 242;MEIA PRAIA;ITAPEMA;SC;Balneário Camboriú;FISIOTERAPIA;;
CAMILA VENTURINI;CAMILA VENTURINI;81;JÚLIO DE CASTILHOS;NOSSA SRA. DE LOURDES;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;PSICOLOGIA;;
CAMILLA DE ALMEIDA SOARES;CAMILLA DE ALMEIDA SOARES;1207;RUA MELVIN JONES;VILA PROGRESSO;DOURADOS;MS;NCT de Dourados;NUTRICAO;;
CAPSI CENTRO DE ATENDIMENTO PSICOLOGICO INTEGRADO LTDA;CAPSI CENTRO DE ATENDIMENTO PSICOLOGICO;1091;RUA DOS ANDRADAS;CENTRO HISTÓRICO;PORTO ALEGRE;RS;CRS 01 Porto Alegre;NUTRICAO / PSICOLOGIA;32263099;
CARDIO IMAGEM LTDA;CARDIO IMAGEM;892;RUA CELESTINO CAVALHEIRO;CENTRO;SAO GABRIEL;RS;CRS 10 Alegrete;CARDIOLOGIA;;
CARDIOCLIN CARDIOLOGICA PALMEIRENSE SS LTDA;CARDIOCLIN;461;RUA PEDRO SOARES DA MOTA;SÃO CRISTÓVÃO;PALMEIRA DOS INDIOS;AL;Região 04;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CARDIOLOGIA  / PSICOLOGIA  / NUTRICAO / UROLOGIA  / GERIATRIA   / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CIRURGIA GERAL;;
CARDIOINTERV PB CLINICA MEDICA SS LTDA;CARDIOINTERV PB;202;AVENIDA RUI BARBOSA;TORRE;JOAO PESSOA;PB;I Núcleo Regional de Saúde;CARDIOLOGIA;;
CARDIOMED ARAPIRACA LTDA;CARDIOMED ARAPIRACA;1179;AVENIDA DEPUTADA CECI CUNHA;ALTO DO CRUZEIRO;ARAPIRACA;AL;Região 04;CARDIOLOGIA;35222702;
CARDIOVITTA - DIAGNOSTICOS EM CARDIOLOGIA LTDA;CARDIOCLINICA;91;RUA ANTÔNIO DE LUCCA;PIO CORRÊA;CRICIUMA;SC;Criciúma;CARDIOLOGIA  / CIRURGIA VASCULAR / CIRURGIA CARDIOVASCULAR;34139888;
CARDIOVIVEA SERVICOS MEDICOS LTDA;CARDIOVIVEA SERVICOS MEDICOS;1775;RUA MARECHAL FLORIANO PEIXOTO;CENTRO;SANTA MARIA;RS;CRS 04 Santa Maria;CARDIOLOGIA;30251050;
CARE MED SOLUTIONS LTDA;CARE MED SOLUTIONS;2;ARSE 23 ALAMEDA 15;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;REMOCOES;33221423;
CAREN TENORIO DE BARROS;FISIOCORPUS;202;SETE DE SETEMBRO;CENTRO;BOM CONSELHO;PE;Garanhuns;FISIOTERAPIA / MEDICINA FISICA E REABILITACAO;;
CARINA PIORNEDO;CARINA PIORNEDO;1342;RUA JOÃO CÂNDIDO DA CÂMARA;JARDIM CENTRAL;DOURADOS;MS;NCT de Dourados;PSICOLOGIA;;
CARLA ROWENA GOLD;;1818;RUA CAMPOS SALLES;CIDADE JARDIM;PIRACICABA;SP;Piracicaba;PSICOLOGIA;;
CARMEN ELIANE LTDA;CLINSF CLINICA NOSSA SENHORA DE FATIMA;48;HORACIO DE MENDONCA FURTADO;CENTRO;SANTA RITA;PB;IX Núcleo Regional de Saúde;CLÍNICA MÉDICA / FISIOTERAPIA / DERMATOLOGIA   / NUTRICAO / FONOAUDIOLOGIA  / PSIQUIATRIA  / PSICOLOGIA;;
CAROLINA BOFF CLINICA DE FONOAUDIOLOGIA LTDA;;553;RUA BORGES DE MEDEIROS;CENTRO;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;PSICOLOGIA  / FISIOTERAPIA / FONOAUDIOLOGIA;;
CAROLINA GOMES SA;CAROLINA GOMES SA;85;RUA SANTA LUZIA;CENTRO;PETROLINA;PE;Petrolina;ALERGIA E IMUNOLOGIA;38626586;
CAROLINA MARIA SIMON;CAROLINA MARIA SIMON;1775;MARECHAL FLORIANO PEIXOTO;CENTRO;SANTA MARIA;RS;CRS 04 Santa Maria;CARDIOLOGIA;;
CAROLINA PEDRASSANI DE LIRA;CAROLINA PEDRASSANI DE LIRA;2001;RUA URUGUAI;CENTRO;PASSO FUNDO;RS;CRS 06 Passo Fundo;OTORRINOLARINGOLOGIA;36329960;
CAROLINA ROSA ZULSKE ME;CAROLINA ROSA ZULSKE;298;AVENIDA ITÁLIA;GRÃ-DUQUESA;GOVERNADOR VALADARES;MG;Governador Valadares;NUTRICAO / PSICOLOGIA;30836558;
CAROLINE KNAK;" 	CAROLINE KNAK";1732;RUA TUIUTI;NOSSA SENHORA DE FÁTIMA;SANTA MARIA;RS;CRS 04 Santa Maria;NEUROLOGIA;32236665;
CAROLINE SOARES DE PAULA;;1901;AVENIDA PROFESSOR JOÃO FIÚSA;JARDIM BOTÂNICO;RIBEIRAO PRETO;SP;Ribeirão Preto;FISIOTERAPIA;;
CARVALHO & CIA - SERVICOS MEDICOS LTDA;Espaço Saude;253;H;UNIÂO;PARAUAPEBAS;PA;Serra dos Carajás;CIRURGIA GERAL  / MASTOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / PEDIATRIA  / CIRURGIA VASCULAR / GINECOLOGIA E OBSTETRICIA  / UROLOGIA;33462289;
CASA DE SAUDE E MATERNIDADE SANTA MONICA LTDA;CASA DE SAUDE E MATERNIDADE SANTA MONICA LTDA;;R PREFEITO ALBERTO VAZ  72;;SANTO ANTONIO DE PADUA;RJ;Noroeste;CARDIOLOGIA  / ANESTESIOLOGIA  / CLÍNICA MÉDICA / TOMOGRAFIA COMPUTADORIZADA  / MEDICINA FISICA E REABILITACAO  / NUTROLOGIA / HOMEOPATIA  / UROLOGIA  / OTORRINOLARINGOLOGIA  / ANGIOLOGIA E CIRURGIA VASCULAR   / CIRURGIA DA MÃO / NEUROLOGIA  / ALERGIA E IMUNOLOGIA  / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / CANCEROLOGIA / GENETICA MÉDICA / ULTRA-SONOGRAFIA  / PSICOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / CIRURGIA PLÁSTICA / INFECTOLOGIA  / RADIODIAGNÓSTICO / PEDIATRIA  / HEMATOLOGIA  / RESSONANCIA MAGNETICA NUCLEAR  / APARELHOS E OBJETOS FINALIDADE MÉDICA / REUMATOLOGIA  / COLOPROCTOLOGIA / MEDICINA DO TRABALHO / NEFROLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CIRURGIA CARDIOVASCULAR  / CIRURGIA DE CABEÇA E PESCOÇO / ASSISTÊNCIA HOSPITALAR TRATAMENTO DENTÁRIO / MEDICINA NUCLEAR  / DERMATOLOGIA   / MEDICINA DA FAMÍLIA E COMUNIDADE / GASTROENTEROLOGIA  / TERAPIA OCUPACIONAL  / PNEUMOLOGIA  / RADIOTERAPIA  / HEMOTERAPIA  / MASTOLOGIA  / ENFERMAGEM  / CIRURGIA GERAL  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / CIRURGIA DO APARELHO DIGESTIVO / PSIQUIATRIA  / CIRURGIA TORACICA  / GINECOLOGIA E OBSTETRICIA  / NEUROCIRURGIA  / CIRURGIA PEDIATRICA  / GERIATRIA   / MUSICOTERAPIA  / FONOAUDIOLOGIA  / PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / REMOCOES  / OFTALMOLOGIA  / ACUPUNTURA  / ENDOCRINOLOGIA E METABOLOGIA;2238510032;  2238510815
CASA DE SAUDE JOAO XXIII LTDA;CASA DE SAUDE JOAO XXIII LTDA;564;RUA NILO PECANHA;CENTRO;ITAOCARA;RJ;Noroeste;DERMATOLOGIA   / TERAPIA OCUPACIONAL  / RADIODIAGNÓSTICO / GINECOLOGIA E OBSTETRICIA  / CARDIOLOGIA  / ACUPUNTURA  / ENFERMAGEM  / COLOPROCTOLOGIA / ASSISTÊNCIA HOSPITALAR TRATAMENTO DENTÁRIO / HEMATOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / CIRURGIA VASCULAR / NEUROLOGIA  / MEDICINA FISICA E REABILITACAO  / TOMOGRAFIA COMPUTADORIZADA  / GENETICA MÉDICA / MEDICINA DA FAMÍLIA E COMUNIDADE / NUTROLOGIA / RADIOTERAPIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / MEDICINA NUCLEAR  / HOMEOPATIA  / MASTOLOGIA  / OFTALMOLOGIA  / GASTROENTEROLOGIA  / APARELHOS E OBJETOS FINALIDADE MÉDICA / ENDOCRINOLOGIA E METABOLOGIA / CIRURGIA DO APARELHO DIGESTIVO / CIRURGIA TORACICA  / MUSICOTERAPIA  / OTORRINOLARINGOLOGIA  / PATOLOGIA / REMOCOES  / ANGIOLOGIA E CIRURGIA VASCULAR   / INFECTOLOGIA  / CIRURGIA PEDIATRICA  / PNEUMOLOGIA  / ULTRA-SONOGRAFIA  / RESSONANCIA MAGNETICA NUCLEAR  / CIRURGIA GERAL  / MEDICINA INTENSIVA / CANCEROLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / NEFROLOGIA  / UROLOGIA  / REUMATOLOGIA  / CIRURGIA DA MÃO / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / ORTOPEDIA E TRAUMATOLOGIA  / ALERGIA E IMUNOLOGIA  / CIRURGIA CARDIOVASCULAR  / PSICOLOGIA  / NEUROCIRURGIA  / HEMOTERAPIA  / PSIQUIATRIA  / CIRURGIA PLÁSTICA / CIRURGIA DE CABEÇA E PESCOÇO / CLÍNICA MÉDICA / MEDICINA DO TRABALHO / ANESTESIOLOGIA  / FONOAUDIOLOGIA  / PEDIATRIA  / GERIATRIA;38612552;
CASA DE SAUDE PIO XII LTDA;CASA DE SAUDE PIO XII LTDA;411;AV DR TEMISTOCLES DE ALMEIDA;0;SANTO ANTONIO DE PADUA;RJ;Noroeste;NEUROLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO / ULTRA-SONOGRAFIA  / CIRURGIA TORACICA  / CIRURGIA DO APARELHO DIGESTIVO / ASSISTÊNCIA HOSPITALAR TRATAMENTO DENTÁRIO / INFECTOLOGIA  / REUMATOLOGIA  / RESSONANCIA MAGNETICA NUCLEAR  / PNEUMOLOGIA  / MEDICINA INTENSIVA / MEDICINA DA FAMÍLIA E COMUNIDADE / TERAPIA OCUPACIONAL  / ENFERMAGEM  / ANGIOLOGIA E CIRURGIA VASCULAR   / CIRURGIA CARDIOVASCULAR  / OFTALMOLOGIA  / CANCEROLOGIA / ALERGIA E IMUNOLOGIA  / PSICOLOGIA  / MEDICINA NUCLEAR  / PATOLOGIA / CIRURGIA PLÁSTICA / OTORRINOLARINGOLOGIA  / HEMOTERAPIA  / COLOPROCTOLOGIA / REMOCOES  / GENETICA MÉDICA / CIRURGIA PEDIATRICA  / DERMATOLOGIA   / MEDICINA DO TRABALHO / HOMEOPATIA  / NEUROCIRURGIA  / CIRURGIA DA MÃO / GERIATRIA   / MEDICINA FISICA E REABILITACAO  / TOMOGRAFIA COMPUTADORIZADA  / PSIQUIATRIA  / NUTROLOGIA / GASTROENTEROLOGIA  / UROLOGIA  / ANESTESIOLOGIA  / CLÍNICA MÉDICA / CIRURGIA GERAL  / PEDIATRIA  / FONOAUDIOLOGIA  / MASTOLOGIA  / APARELHOS E OBJETOS FINALIDADE MÉDICA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / MUSICOTERAPIA  / RADIOTERAPIA  / NEFROLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / RADIODIAGNÓSTICO / ORTOPEDIA E TRAUMATOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CARDIOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / ACUPUNTURA  / HEMATOLOGIA  / GINECOLOGIA E OBSTETRICIA;38510155;
CASULO ESPACO TERAPEUTICO LTDA;CASULO ESPACO TERAPEUTICO;45;RUA MARCIANO;SÃO FRANCISCO;MANAUS;AM;Entorno de Manaus;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / PSICOLOGIA;;
CATIELE MORELLO;CATIELE MORELLO;955;SETE DE SETEMBRO;;TAPEJARA;RS;CRS 06 Passo Fundo;PSICOLOGIA;;
CBMEDICAL LTDA;CBMEDICAL;2560;AVENIDA JORNALISTA RUBENS DE ARRUDA RAMOS;CENTRO;FLORIANOPOLIS;SC;Grande Florianópolis;NEUROCIRURGIA;;
CCM COGNIT CENTRO MULTIDISCIPLINAR LTDA;COGNIT;532;AVENIDA CONSELHEIRO NÉBIAS;ENCRUZILHADA;SANTOS;SP;Baixada Santista;FONOAUDIOLOGIA  / PSICOLOGIA;22021898;
CDI - CENTRO DE DIAGNOSTICO POR IMAGEM LTDA;IMAGEM CLINICA;42;ANHANGUERA ESQUINA COM SÃO PAULO;BELO HORIZONTE;NIQUELANDIA;GO;Serra da Mesa;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / UROLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / OTORRINOLARINGOLOGIA  / CARDIOLOGIA  / CLÍNICA MÉDICA;33545515;
CEANE DE SANTANA VITORIA;CEANE DE SANTANA VITORIA;5;RUA ARLINDO LEONE;CENTRO;MUNDO NOVO;BA;Mundo Novo;FISIOTERAPIA;;
